os_id,placa,base,regra,est_algoritmo_min,rampa_real_min,pronta_real_min,n_pecas,pecas
35576,SUO7H53,34,C3_TEMPO_ALTO,126,87,124,7,"Pastilha de freio traseiro x1 | Pinça de freio traseira x1 | Carenagem da balança x1 | Descanso lateral x1 | Pastilha de freio dianteiro x1 | Disco de freio traseiro x1 | Sensor descanso x1"
35585,UFB3J27,1,C4_CAPACIDADE,84,142,168,8,"Carenagem dianteira direita COMFORT x1 | Amortecedor traseiro x1 | Velocímetro x1 | Acabamento frontal direito x1 | Carenagem frontal x1 | Carenagem frontal posterior PP x1 | Farol x1 | Mascara do farol x1"
35637,TLG5A44,1,C4_CAPACIDADE,87,118,153,5,"Pastilha de freio dianteiro x1 | Disco de freio traseiro x1 | Pneu traseiro x1 | Pastilha de freio traseiro x1 | Pneu dianteiro x1"
35641,UEW1E53,34,C3_TEMPO_ALTO,131,89,117,13,"Rolamento da roda x2 | Rolamento superior completo da direção x1 | Retentor da roda x2 | Mascara do farol x1 | Farol x1 | Extensão lateral LD PP x1 | Pastilha de freio dianteiro x1 | Rolamento inferior da direção x1 | Carenagem dianteira direita COMFORT x1 | Garfo dianteiro x1 | Paralama dianteiro x1 | Pastilha de freio traseiro x1 | Pista do rolamento inferior  x1"
35655,TKD0B16,1,C3_TEMPO_COMBINADO,53,92,158,6,"Usb 5W - CPX x1 | Pneu dianteiro x1 | Pista do rolamento inferior  x1 | Pastilha de freio traseiro x1 | Garfo dianteiro x1 | Pastilha de freio dianteiro x1"
35671,SWL6E14,34,C3_TEMPO_ALTO,122,87,137,16,"Refletor do paralama traseiro x1 | Rolamento da roda x2 | Retentor da roda x2 | Roda traseira_v2 x1 | Amortecedor dianteiro LE x1 | Parafuso da bolha x4 | Manete de freio dianteiro x1 | Bolha/Parabrisa x1 | Paralama traseiro x1 | Pastilha de freio dianteiro x1 | Roda traseira_v1 x1 | Borracha de vedação Bolha x4 | Amortecedor dianteiro LD x1 | Suporte do paralama x1 | Pastilha de freio traseiro x1 | Manete de freio traseiro x1"
35696,TIU6A13,166,C3_TEMPO_ALTO,124,62,99,11,"Pneu traseiro x1 | Tampa do motor COMFORT v2 x1 | Pastilha de freio dianteiro x1 | Paralama traseiro x1 | Carenagem dianteira esquerda COMFORT x1 | Rolamento da tampa do motor l/roda x1 | Suporte do paralama x1 | Carenagem dianteira direita COMFORT x1 | Tampa do motor COMFORT v1 x1 | Pastilha de freio traseiro x1 | Manete de freio traseiro x1"
35727,TKB6J51,34,C3_TEMPO_COMBINADO,81,122,165,7,"Sensor descanso x1 | Manete de freio dianteiro x1 | Bau 110L x1 | Tampa do motor COMFORT v1 x1 | Seta LD x1 | Manete de freio traseiro x1 | Disco de freio dianteiro x1"
35787,UDT0A62,1,C3_TEMPO_ALTO,126,61,95,12,"Suporte do pedal esquerdo do passageiro x1 | Sensor de freio traseiro x1 | Borracha de vedação Bolha x1 | Rolamento inferior da direção x3 | Pista do rolamento inferior  x1 | Garfo dianteiro x3 | Suporte da bolha inferior (Parte superior mesa suspensão diant.) x1 | Rolamento superior completo da direção x3 | Parafuso da bolha x6 | Suporte da bolha x2 | Bolha/Parabrisa x1 | Pastilha de freio dianteiro x1"
36018,TJK2I65,34,C4_CAPACIDADE,87,51,110,7,"Usb 18W - COMFORT x1 | Disco de freio traseiro x1 | Pastilha de freio dianteiro x1 | Disco de freio dianteiro x1 | Parafuso do disco x3 | Pastilha de freio traseiro x1 | Usb 5W - CPX x1"
36019,UEK3F40,34,C3_TEMPO_ALTO,124,79,114,10,"Pneu dianteiro x1 | Buzina x1 | Conjunto de seta x1 | Garfo dianteiro x1 | Pastilha de freio traseiro x1 | Pista do rolamento inferior  x2 | Sensor descanso x1 | Pneu traseiro x1 | Rolamento superior completo da direção x1 | Disco de freio traseiro x1"
36020,UGA0J45,34,C4_CAPACIDADE,82,75,161,6,"Pastilha de freio traseiro x1 | Tampa do motor COMFORT v2 x1 | Retentor da roda x2 | Pneu traseiro x1 | Rolamento da roda x2 | Rolamento 6305 TIMKEN - Tampa do Motor COMFORT V2 x1"
